id;tarjeta_id;cod_seguridad;vencimiento;monto;numero;tipo
1;37454;79654;2020-01-19;18343;73199;Home Loan Account Table Computer
2;5808;45924;2020-01-19;33370;60111;alarm
3;2058;5641;2020-01-19;72199;83244;red Chips Soap
4;30424;61165;2020-01-20;706;43194;intangible
5;61185;39986;2020-01-20;4666;29214;24/7 Common bluetooth
6;19967;38246;2020-01-20;98323;59241;Refined Rubber Chicken Table
7;6505;1326;2020-01-19;94220;96563;cross-platform access
8;9767;23089;2020-01-19;24102;44015;Rubber Buckinghamshire Games
9;90932;39106;2020-01-20;18223;66252;hardware Costa Rica Mayotte
10;18485;3131;2020-01-19;84228;77513;Markets Chief
